Product Num,Product Name,Brand Family,Package,Package Type,Case Equiv,Segment
00 4,Cherry Pepper Fizz,Smoky Stone Beverages,Misc,Beer,0,Alcoholic Beverages
00 6,Passionfruit Sage Fizz,Smoky Stone Beverages,Misc,Beer,0,Alcoholic Beverages
00 7,Passionfruit Lavender Fizz,Smoky Stone Beverages,Misc,Beer,0,Alcoholic Beverages
00 8,Lime Cinnamon Fizz #1544,Smoky Stone Beverages,Misc,Beer,0,Alcoholic Beverages
00 10,Plum Sage Fizz,Smoky Stone Beverages,Misc,Beer,0,Alcoholic Beverages
00 20,Orchard Hill Bright Rose 18,Minty Rainfall Beverages,12/750,Wine/Spirits,0.08,Alcoholic Beverages
00 21,Pear Chamomile Fizz,Velvet Starglow Beverages,Empties,Beer,0,Alcoholic Beverages
00 22,Mango Ginger Fizz,Smoky Stone Beverages,Misc,Beer,0,Alcoholic Beverages
00 23,Pomegranate Hibiscus Fizz,Velvet Starglow Beverages,Empties,Beer,0,Alcoholic Beverages
00 24,Mango Chamomile Fizz,Velvet Starglow Beverages,Empties,Beer,0,Alcoholic Beverages
00 27,Hoppy Grove Blonde Ale 1/6 BBL,Icy Citrus Beverages,1/6 BBL,Beer,2.3,Alcoholic Beverages
00 28,Coconut Hibiscus Fizz 1/6 Bbl,Icy Citrus Beverages,1/6 BBL,Beer,2.3,Alcoholic Beverages
00 31,Hoppy Brook Blonde Ale,Icy Citrus Beverages,24/12oz LN,Beer,1,Alcoholic Beverages
00 35,Orchard Hill Mellow Chardonnay 2017 (6-Pack),Canyon Stone Beverages,6/750,Wine/Spirits,0.08,AB Products
00 39,Orchard Hill Smoky Pinot Noir 2017,Bloom Hollow Beverages,12/750,Wine/Spirits,0.08,Alcoholic Beverages
00 42,Raspberry Lavender Fizz Z Floozy 3L,Spiced Meadow Beverages,1/3L,Beer,0.35,Alcoholic Beverages
00 46,Juniper Bay Smoky Sauvignon Blanc 2017,Orchard Pine Beverages,12/750,Wine/Spirits,0.08,Alcoholic Beverages
00 47,Apple Hibiscus Fizz,Honeyed Meadow Beverages,6/750,Wine/Spirits,0.08,AB Products
00 52,Coconut Elderflower Fizz 2016,Minty Cove Beverages,12/750,Wine/Spirits,0.08,Alcoholic Beverages
00 59,Silver Bluff Silky Chardonnay 2020,Mellow Nectar Beverages,12/750,Wine/Spirits,0.08,AB Products
00 61,Plum Rose Fizz 2016,Soft Lantern Beverages,12/750,Wine/Spirits,0.08,Alcoholic Beverages
00 62,Canyon Vale Crisp Rose,Soft Lantern Beverages,12/750,Wine/Spirits,0.08,Alcoholic Beverages
00 63,Orchard Hill Fresh White Blend 2020,Tangy Vale Cellars,12/750,Wine/Spirits,0.08,Alcoholic Beverages
00 64,Meadow Crest Velvet Sauvignon Blanc 2020,Silver Driftwood Beverages,12/750,Wine/Spirits,0.08,Alcoholic Beverages
